Year,,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czech Republic,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,South Korea,Spain,Sweden,Switzerland,Turkiye,Türkiye,United Kingdom,United States
1961-01-01 00:00:00,Inflation_perc_change,-38.65121806697442,82.05016300578474,231.48073601569558,-25.018766748802403,8.395833926641227,42.46786685004831,207.61528890692117,,,174.9797439135077,,-50.52840958389901,-42.01694936688697,49.269594081348615,42.34075092391887,,136.9554183936382,511.5287152535741,204.73432758624705,-12.742278007633045,50.187284261169076,,,,7.298001289514744,-67.35152652339849,-43.731881784318404,157.57687204144256,497.84147844891703,12.574535950355173,-49.15641561335048,,,2.8885221097518787,-31.289459811529895,-47.89743655262318,28.259985260732524,-43.989361171521715,,243.52129254017893,-26.560920187885717
1962-01-01 00:00:00,CurrencyPerDollar,0.892857,1.889494,1.239468,1.068769,0.001058,6.961667,6.625,,,6.90714,,0.538201,0.75265,2.045168,0.088041,,0.43,0.453478,0.00029,0.322786,360.0,,,,1.239468,0.0125,1.642684,0.719194,7.14286,0.0004,0.143404,,,130.0,0.360607,5.17321,4.37295,9e-06,,0.357143,1.0
1962-01-01 00:00:00,Inflation,-0.319488818,4.381798639,1.404607035,1.061571125,3.1743326725000003,4.697093951,2.677859687,,,7.377819548,,4.383982782,5.331280071,2.843270198,-0.475428291,,11.01629245,4.263727121,9.408194068,4.691143607,6.835440348,,,,0.895946647,1.198984178,2.431122644,2.68085397,5.274259529,3.8998865065,2.662064179,,,6.618310975,5.706477193,4.766197219,4.315992878,3.888320251,,4.196498882,1.198773348
1962-01-01 00:00:00,Inflation_perc_change,-113.96622547468631,23.70135291574822,41.49699052791189,4.2015867467116275,10.599164940092331,-43.29366231585777,10.163995227386447,,,113.74894094703154,,159.2535669600351,122.09400490396209,23.960255802222253,-122.60092023626301,,133.81138860060386,54.651001534745006,38.563162960283684,128.75846070804306,27.32586393925498,,,,85.71398503633634,-25.471517921069054,85.91690532975522,49.126526810480044,144.7256009024839,177.14048722752466,71.85728768727031,,,-19.246079970905473,605.1537753327768,120.86453241301047,133.8787173654238,22.549495759704442,,21.725989008550716,11.95912133290189
1963-01-01 00:00:00,CurrencyPerDollar,0.892857,1.889494,1.239468,1.078514,0.001622,9.0,6.625,,,6.90714,,0.538201,0.75265,2.045168,0.088041,,0.43,0.453478,0.0003,0.322786,360.0,,,,1.239468,0.0125,1.642684,0.719194,7.14286,0.0004,0.143404,,,130.0,0.360607,5.17321,4.37295,9e-06,,0.357143,1.0
1963-01-01 00:00:00,Inflation,0.641025641,2.708766995,2.148003413,1.628151261,43.256004605,26.35543553,2.931618471,,,6.105032823,,4.996381886,4.999152898,2.966959776,3.184662728,,12.92802308,2.453620587,6.581137365,7.454718225,6.706905564,,,,2.876322462,0.594055008,3.243647374,1.968498504,2.471610529,2.0330299839999997,2.021582728,,,20.69164732,8.743697684,2.871740345,3.44021288,6.362706928,,2.01854356,1.239669421
1963-01-01 00:00:00,Inflation_perc_change,-300.64102556478207,-38.18139037949526,52.92557701022764,53.37184882454296,-3.3389321171889303,461.10088077733667,9.476179249865236,,,-17.251529624969354,,13.969012527020453,-6.2297828772237445,4.3502576043249475,-769.8513294826201,,17.353666296322757,-42.45362056790031,-30.048877420754327,58.91046724462383,-1.8804170244512086,,,,221.0372483262388,-50.45347395735191,33.421791039843555,-26.571960799491055,-53.138245939357155,-8.25847770446022,-24.05957963194546,,,212.64241583933733,53.22408884286241,-39.74776508298743,-20.29150702412258,63.636390967632764,,-51.899342362317356,3.4114933459465036
1964-01-01 00:00:00,CurrencyPerDollar,0.892857,1.889494,1.239468,1.078598,0.002307,9.0,6.625,,,6.90714,,0.538201,0.75265,2.045168,0.088041,,0.43,0.453478,0.0003,0.322786,360.0,,,,1.239468,0.0125,1.642684,0.719194,7.14286,0.0004,0.143404,,,213.846667,0.360607,5.17321,4.37295,9e-06,,0.357143,1.0
1964-01-01 00:00:00,Inflation,2.866242038,3.868563549,4.168760586,1.912144703,43.256004605,17.07243522,3.32403316,,,3.092783505,,10.27586074,3.211191703,2.335735812,0.617302979,,19.24505436,6.717289719,5.172750423,5.912322532,3.800389453,,,,3.096381512,2.337903172,5.823768258,3.474905477,5.867015388,2.0330299839999997,3.444898482,,,29.46283145,6.97924674,3.387662311,3.080556871,1.119637815,,3.281586947,1.278911565
1964-01-01 00:00:00,Inflation_perc_change,347.13375794588535,42.816401563546066,94.07606900296858,17.44269398075293,-33.096057220900256,-35.2223369613198,13.385598872493931,,,-49.34042789502624,,105.6660394353211,-35.76528326859748,-21.275110269644593,-80.6163781937539,,48.86308788984621,173.77051507434226,-21.4003577784309,-20.690194403692562,-43.336171700419065,,,,7.650708601252787,293.5499474823045,79.54381554176919,76.52568543684299,137.3762095265779,209.59550021600958,70.40601080956606,,,42.389975019156644,-20.179688362610605,17.96548099824813,-10.454469579219749,-82.40312138104501,,62.572015389155155,3.1655329505784424
1965-01-01 00:00:00,CurrencyPerDollar,0.892857,1.889494,1.239468,1.077984,0.003157,10.5,6.625,,,6.90714,,0.538201,0.75265,2.045168,0.088041,,0.43,0.453478,0.0003,0.322786,360.0,,,,1.239468,0.0125,1.642684,0.719194,7.14286,0.0004,0.143404,,,266.27,0.360607,5.17321,4.37295,9e-06,,0.357143,1.0
1965-01-01 00:00:00,Inflation,3.405572755,4.930916377,4.065201375,2.332657201,40.568478711500006,7.590683669,-0.665000001,,,5.449999999,,4.940588068,2.703104559,3.242319237,3.22087247,,7.317069428,4.988123515,7.708333264,4.519268307,6.655990943,,,,3.333679329,3.568038657,3.908037828,3.397489756,4.18722444,2.0702447645,3.424927777,,,13.54819471,13.21413784,5.012771296,3.414478608,4.555533684,,4.773774554,1.585169264
1965-01-01 00:00:00,Inflation_perc_change,18.816649461199475,27.461170394230994,-2.484172666278428,21.9916671233223,-41.873832425328004,-55.538365961361656,-120.0058173005711,,,76.21666664314417,,-51.92044546917439,-15.822385923746896,38.81361155411356,421.76525621464725,,-61.979481631352485,-25.742022100208306,49.01807807556,-23.561878051479756,75.13970674099753,,,,7.6637137923849075,52.61704161800931,-32.895031964371135,-2.227851131848213,-28.63109838497667,-14.29446394845529,-0.5797182443648019,,,-54.01597863059424,89.33472811995753,47.97139843965989,10.839655003402138,306.87565415964457,,45.471524329536514,23.946745606292176
1966-01-01 00:00:00,CurrencyPerDollar,0.892857,1.889494,1.239468,1.077342,0.003851,13.5,6.625,,,6.90714,,0.538201,0.75265,2.045168,0.088041,,0.43,0.453478,0.0003,0.322786,360.0,,,,1.239468,0.0125,1.642684,0.719194,7.14286,0.0004,0.143404,,,271.134167,0.360607,5.17321,4.37295,9e-06,,0.357143,1.0
1966-01-01 00:00:00,Inflation,3.293413174,2.054820593,4.174347619,3.815659068,43.256004605,16.72816827,0.182882838,,,7.064959697,,3.873654019,2.602000766,3.533060355,4.903415961,,10.68664303,3.054298641,7.930367544,2.346588934,5.040832059,,,,3.331679773,4.215788377,5.762140236,2.755480775,3.250563343,2.0330299839999997,5.039267219,,,11.26138488,6.240367083,6.404808253,4.775979596,8.471996215,,3.909617792,3.015075377
