(TIME_PERIOD) Time,(1950) 1950,(1951) 1951,(1952) 1952,(1953) 1953,(1954) 1954,(1955) 1955,(1956) 1956,(1957) 1957,(1958) 1958,(1959) 1959,(1960) 1960,(1961) 1961,(1962) 1962,(1963) 1963,(1964) 1964,(1965) 1965,(1966) 1966,(1967) 1967,(1968) 1968,(1969) 1969,(1970) 1970,(1971) 1971,(1972) 1972,(1973) 1973,(1974) 1974,(1975) 1975,(1976) 1976,(1977) 1977,(1978) 1978,(1979) 1979,(1980) 1980,(1981) 1981,(1982) 1982,(1983) 1983,(1984) 1984,(1985) 1985,(1986) 1986,(1987) 1987,(1988) 1988,(1989) 1989,(1990) 1990,(1991) 1991,(1992) 1992,(1993) 1993,(1994) 1994,(1995) 1995,(1996) 1996,(1997) 1997,(1998) 1998,(1999) 1999,(2000) 2000,(2001) 2001,(2002) 2002,(2003) 2003,(2004) 2004,(2005) 2005,(2006) 2006,(2007) 2007,(2008) 2008,(2009) 2009,(2010) 2010,(2011) 2011,(2012) 2012,(2013) 2013,(2014) 2014,(2015) 2015,(2016) 2016,(2017) 2017,(2018) 2018,(2019) 2019,(2020) 2020,(2021) 2021,(2022) 2022,,
(EST) Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A   0.845088,A   0.830292,A   0.732731,A   0.769368,A   0.887206,A   0.899535,A   0.938069,A   1.084494,A   1.117052,A   1.061687,A   0.885586,A   0.805003,A   0.804251,A   0.79669,A   0.730756,A   0.683499,A   0.719481,A   0.754595,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(FIN) Finland,A   0.388514,A   0.386832,A   0.386832,A   0.386832,A   0.386832,A   0.386832,A   0.386832,A   0.424675,A   0.538201,A   0.538201,A   0.538201,A   0.538201,A   0.538201,A   0.538201,A   0.538201,A   0.538201,A   0.538201,A   0.580247,A   0.706384,A   0.706384,A   0.706384,A   0.703769,A   0.697363,A   0.642674,A   0.634699,A   0.618707,A   0.649948,A   0.677699,A   0.692486,A   0.655148,A   0.627355,A   0.725773,A   0.810736,A   0.936821,A   1.010809,A   1.042411,A   0.852632,A   0.739281,A   0.703502,A   0.721731,A   0.643067,A   0.680148,A   0.753388,A   0.960738,A   0.878532,A   0.734421,A   0.77258,A   0.873137,A   0.898807,A   0.938283,A   1.082705,A   1.116533,A   1.057559,A   0.884048,A   0.803922,A   0.8038,A   0.796433,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(FRA) France,A   0.533084,A   0.533511,A   0.533526,A   0.533511,A   0.533526,A   0.533526,A   0.533251,A   0.551318,A   0.639863,A   0.75265,A   0.75265,A   0.75265,A   0.75265,A   0.75265,A   0.75265,A   0.75265,A   0.75265,A   0.75265,A   0.75265,A   0.79185,A   0.846731,A   0.844659,A   0.769036,A   0.678822,A   0.733222,A   0.653671,A   0.732194,A   0.747789,A   0.688018,A   0.648582,A   0.644185,A   0.828501,A   1.00191,A   1.161858,A   1.332267,A   1.369789,A   1.055876,A   0.916327,A   0.90813,A   0.972646,A   0.830127,A   0.860135,A   0.807037,A   0.863354,A   0.846404,A   0.760947,A   0.779856,A   0.889798,A   0.899375,A   0.938283,A   1.082705,A   1.116533,A   1.057559,A   0.884048,A   0.803922,A   0.8038,A   0.796433,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(DEU) Germany,A   2.144861,A   2.144861,A   2.144861,A   2.147426,A   2.147426,A   2.147426,A   2.147426,A   2.147426,A   2.147426,A   2.147426,A   2.147426,A   2.062211,A   2.045168,A   2.045168,A   2.045168,A   2.045168,A   2.045168,A   2.045168,A   2.045168,A   2.016194,A   1.871328,A   1.793302,A   1.630327,A   1.366479,A   1.323096,A   1.257927,A   1.287433,A   1.187313,A   1.026994,A   0.937138,A   0.929358,A   1.15552,A   1.240697,A   1.30546,A   1.455107,A   1.505226,A   1.110262,A   0.918992,A   0.897944,A   0.96125,A   0.826111,A   0.84851,A   0.798459,A   0.84533,A   0.829721,A   0.732749,A   0.769379,A   0.886609,A   0.899704,A   0.938283,A   1.082705,A   1.116533,A   1.057559,A   0.884048,A   0.803922,A   0.8038,A   0.796433,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(GRC) Greece,A   0.04402,A   0.04402,A   0.04402,A   0.0773,A   0.088042,A   0.088042,A   0.088042,A   0.088042,A   0.088042,A   0.088042,A   0.088042,A   0.088041,A   0.088041,A   0.088041,A   0.088041,A   0.088041,A   0.088041,A   0.088041,A   0.088041,A   0.088041,A   0.088041,A   0.088041,A   0.088042,A   0.086941,A   0.088042,A   0.094061,A   0.107168,A   0.10811,A   0.107837,A   0.108697,A   0.125067,A   0.162607,A   0.196047,A   0.258442,A   0.33079,A   0.405338,A   0.410803,A   0.397445,A   0.416318,A   0.476644,A   0.465191,A   0.534898,A   0.559426,A   0.67278,A   0.711967,A   0.679861,A   0.706417,A   0.801344,A   0.86729,A   0.896982,A   1.072336,A   1.116533,A   1.057559,A   0.884048,A   0.803922,A   0.8038,A   0.796433,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(HUN) Hungary,,,,,,,,,,,,,,,,,,,A   60,A   60,A   60,A   59.821617,A   55.26,A   48.966225,A   46.7524,A   43.971383,A   41.575267,A   40.96075,A   37.91135,A   35.578,A   32.532283,A   34.314292,A   36.63055,A   42.67115,A   48.042208,A   50.1194,A   45.83215,A   46.970542,A   50.413208,A   59.066342,A   63.205867,A   74.735383,A   78.988392,A   91.933183,A   105.160458,A   125.681425,A   152.646667,A   186.789167,A   214.401667,A   237.145833,A   282.179167,A   286.49,A   257.886667,A   224.306667,A   202.745833,A   199.5825,A   210.39,A   183.625833,A   172.113333,A   202.341667,A   207.944167,A   201.055,A   225.104167,A   223.695,A   232.601667,A   279.3325,A   281.523333,A   274.433333,A   270.211667,A   290.66,A   307.996667,A   303.140833,A   372.595833,,
(ISL) Iceland,A   0.1629,A   0.1629,A   0.1629,A   0.1629,A   0.1629,A   0.1629,A   0.1629,A   0.162857,A   0.162857,A   0.162857,A   0.361905,A   0.400833,A   0.43,A   0.43,A   0.43,A   0.43,A   0.43,A   0.441667,A   0.621667,A   0.88,A   0.88,A   0.88,A   0.882604,A   0.901342,A   0.999517,A   1.53695,A   1.821717,A   1.9887,A   2.711108,A   3.526,A   4.797642,A   7.224183,A   12.351533,A   24.842767,A   31.693742,A   41.507667,A   41.104158,A   38.677183,A   43.013983,A   57.041792,A   58.283775,A   58.996342,A   57.545933,A   67.603182,A   69.944378,A   64.691667,A   66.5,A   70.904291,A   70.958333,A   72.335293,A   78.615947,A   97.424603,A   91.661667,A   76.708983,A   70.191667,A   62.981667,A   70.18,A   64.055,A   87.947917,A   123.638381,A   122.241811,A   115.95404,A   125.082787,A   122.179121,A   116.767353,A   131.918708,A   120.811548,A   106.839572,A   108.300176,A   122.606774,A   135.421712,A   126.98886,A   135.279902,,
(IRL) Ireland,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.453478,A   0.459776,A   0.529058,A   0.529058,A   0.529058,A   0.521761,A   0.508391,A   0.51827,A   0.543139,A   0.573974,A   0.706622,A   0.727905,A   0.662174,A   0.620388,A   0.617912,A   0.788886,A   0.894609,A   1.02173,A   1.171401,A   1.200683,A   0.943578,A   0.854428,A   0.833542,A   0.895855,A   0.767669,A   0.788885,A   0.746252,A   0.859929,A   0.848983,A   0.791978,A   0.793622,A   0.837574,A   0.8917,A   0.938283,A   1.082705,A   1.116533,A   1.057559,A   0.884048,A   0.803922,A   0.8038,A   0.796433,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(ISR) Israel,A   0.000036,A   0.000036,A   0.000036,A   0.0001,A   0.00018,A   0.00018,A   0.00018,A   0.00018,A   0.00018,A   0.00018,A   0.00018,A   0.00018,A   0.00029,A   0.0003,A   0.0003,A   0.0003,A   0.0003,A   0.000308,A   0.00035,A   0.00035,A   0.00035,A   0.000379,A   0.000418,A   0.000419,A   0.000445,A   0.000634,A   0.000793,A   0.001045,A   0.001744,A   0.002541,A   0.005124,A   0.011431,A   0.024267,A   0.056214,A   0.29321,A   1.178849,A   1.487842,A   1.594642,A   1.598933,A   1.916417,A   2.016175,A   2.279108,A   2.459083,A   2.830083,A   3.011055,A   3.011292,A   3.19165,A   3.44935,A   3.800075,A   4.139717,A   4.077333,A   4.20565,A   4.737825,A   4.554133,A   4.481983,A   4.4877,A   4.455808,A   4.108083,A   3.588021,A   3.932335,A   3.738975,A   3.578129,A   3.855922,A   3.610758,A   3.577925,A   3.886833,A   3.840567,A   3.599556,A   3.590558,A   3.564527,A   3.442406,A   3.230198,A   3.359614,,
(ITA) Italy,A   0.322584,A   0.322786,A   0.322786,A   0.322786,A   0.322786,A   0.322786,A   0.322786,A   0.322786,A   0.322651,A   0.320764,A   0.322262,A   0.322786,A   0.322786,A   0.322786,A   0.322786,A   0.322786,A   0.322786,A   0.322786,A   0.322786,A   0.322786,A   0.322786,A   0.320389,A   0.301207,A   0.301092,A   0.335874,A   0.337168,A   0.429865,A   0.455716,A   0.438298,A   0.429104,A   0.442318,A   0.58709,A   0.698513,A   0.78442,A   0.907395,A   0.986143,A   0.769939,A   0.669364,A   0.672235,A   0.708627,A   0.618768,A   0.640723,A   0.636484,A   0.812731,A   0.832758,A   0.841274,A   0.796866,A   0.879576,A   0.896676,A   0.938283,A   1.082705,A   1.116533,A   1.057559,A   0.884048,A   0.803922,A   0.8038,A   0.796433,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
