(TIME_PERIOD) Time,(1950) 1950,(1951) 1951,(1952) 1952,(1953) 1953,(1954) 1954,(1955) 1955,(1956) 1956,(1957) 1957,(1958) 1958,(1959) 1959,(1960) 1960,(1961) 1961,(1962) 1962,(1963) 1963,(1964) 1964,(1965) 1965,(1966) 1966,(1967) 1967,(1968) 1968,(1969) 1969,(1970) 1970,(1971) 1971,(1972) 1972,(1973) 1973,(1974) 1974,(1975) 1975,(1976) 1976,(1977) 1977,(1978) 1978,(1979) 1979,(1980) 1980,(1981) 1981,(1982) 1982,(1983) 1983,(1984) 1984,(1985) 1985,(1986) 1986,(1987) 1987,(1988) 1988,(1989) 1989,(1990) 1990,(1991) 1991,(1992) 1992,(1993) 1993,(1994) 1994,(1995) 1995,(1996) 1996,(1997) 1997,(1998) 1998,(1999) 1999,(2000) 2000,(2001) 2001,(2002) 2002,(2003) 2003,(2004) 2004,(2005) 2005,(2006) 2006,(2007) 2007,(2008) 2008,(2009) 2009,(2010) 2010,(2011) 2011,(2012) 2012,(2013) 2013,(2014) 2014,(2015) 2015,(2016) 2016,(2017) 2017,(2018) 2018,(2019) 2019,(2020) 2020,(2021) 2021,(2022) 2022,,
(JPN) Japan,A   361.1,A   361.1,A   361.1,A   360,A   360,A   360,A   360,A   360,A   360,A   360,A   360,A   360,A   360,A   360,A   360,A   360,A   360,A   360,A   360,A   360,A   360,A   350.677694,A   303.1725,A   271.701667,A   292.0825,A   296.7875,A   296.5525,A   268.51,A   210.441667,A   219.14,A   226.740833,A   220.535833,A   249.076667,A   237.511667,A   237.5225,A   238.535833,A   168.519833,A   144.6375,A   128.151667,A   137.964417,A   144.7925,A   134.706667,A   126.651333,A   111.197786,A   102.207806,A   94.059579,A   108.779057,A   120.990863,A   130.905301,A   113.906805,A   107.765498,A   121.528948,A   125.388019,A   115.933464,A   108.192569,A   110.218212,A   116.299312,A   117.753529,A   103.359494,A   93.570089,A   87.779875,A   79.80702,A   79.790455,A   97.595658,A   105.944781,A   121.044026,A   108.7929,A   112.166141,A   110.423179,A   109.009666,A   106.774582,A   109.754324,A   131.49814,,
(KOR) Korea,A   2.5,A   6,A   6,A   18,A   18,A   50,A   50,A   50,A   50,A   50,A   63.125,A   124.791667,A   130,A   130,A   213.846667,A   266.27,A   271.134167,A   270.511667,A   276.643333,A   288.241667,A   310.555833,A   347.1475,A   392.894167,A   398.321667,A   404.4725,A   484,A   484,A   484,A   484,A   484,A   607.716667,A   681.028333,A   731.1675,A   775.748333,A   805.970833,A   870.02,A   881.455833,A   822.564167,A   731.463333,A   671.455833,A   707.765833,A   733.329167,A   780.670833,A   802.538333,A   803.771667,A   771.254167,A   804.4575,A   949.89,"A   1,403.183333","A   1,189.439167","A   1,130.3625","A   1,290.79","A   1,251.6025","A   1,191.645833","A   1,146.249167","A   1,024.328333",A   955.340833,A   929.375833,"A   1,100.125833","A   1,277.245833","A   1,156.46","A   1,108.233333","A   1,126.806667","A   1,094.9825","A   1,052.84","A   1,130.9525","A   1,160.7675","A   1,131.000833","A   1,100.163333","A   1,165.3575","A   1,180.265833","A   1,143.951667","A   1,291.446667",,
(LVA) Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A   1.047898,A   0.960913,A   0.796452,A   0.750683,A   0.783647,A   0.82657,A   0.839257,A   0.832617,A   0.862972,A   0.893445,A   0.879607,A   0.813136,A   0.768683,A   0.803519,A   0.797389,A   0.73106,A   0.68414,A   0.719333,A   0.754798,A   0.713191,A   0.778133,A   0.753256,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(LTU) Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A   0.513424,A   1.258128,A   1.152036,A   1.15848,A   1.15848,A   1.15848,A   1.15848,A   1.15848,A   1.15848,A   1.15848,A   1.064921,A   0.886488,A   0.805315,A   0.803413,A   0.797099,A   0.730921,A   0.682656,A   0.719426,A   0.754846,A   0.718576,A   0.778004,A   0.753304,A   0.753097,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(LUX) Luxembourg,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.216091,A   1.091093,A   0.966202,A   0.965582,A   0.911726,A   0.956997,A   0.888519,A   0.780668,A   0.726791,A   0.724882,A   0.92041,A   1.13264,A   1.267521,A   1.432426,A   1.471942,A   1.107388,A   0.925488,A   0.911463,A   0.9768,A   0.828409,A   0.846513,A   0.796965,A   0.857625,A   0.829365,A   0.730791,A   0.767516,A   0.886812,A   0.89982,A   0.938283,A   1.082705,A   1.116533,A   1.057559,A   0.884048,A   0.803922,A   0.8038,A   0.796433,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(MEX) Mexico,A   0.00865,A   0.00865,A   0.00865,A   0.00865,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.0125,A   0.015426,A   0.022573,A   0.022767,A   0.022805,A   0.022951,A   0.024515,A   0.056402,A   0.120094,A   0.167828,A   0.256872,A   0.611773,A   1.378183,A   2.273105,A   2.461473,A   2.812599,A   3.01843,A   3.094898,A   3.115617,A   3.375117,A   6.419425,A   7.599448,A   7.91846,A   9.136042,A   9.560398,A   9.455558,A   9.342342,A   9.655958,A   10.789019,A   11.285967,A   10.897892,A   10.899242,A   10.928192,A   11.129717,A   13.513475,A   12.636008,A   12.423325,A   13.169458,A   12.771992,A   13.29245,A   15.848267,A   18.664058,A   18.926517,A   19.244342,A   19.263633,A   21.485608,A   20.272408,A   20.12735,,
(NLD) Netherlands,A   1.724365,A   1.724365,A   1.724365,A   1.724365,A   1.724365,A   1.724365,A   1.724365,A   1.724365,A   1.724365,A   1.724365,A   1.724365,A   1.656298,A   1.642684,A   1.642684,A   1.642684,A   1.642684,A   1.642684,A   1.642684,A   1.642684,A   1.642684,A   1.642684,A   1.595982,A   1.456408,A   1.268565,A   1.219935,A   1.147606,A   1.199768,A   1.11369,A   0.981791,A   0.910279,A   0.902168,A   1.132272,A   1.211688,A   1.295145,A   1.456037,A   1.507186,A   1.111773,A   0.919223,A   0.896934,A   0.962349,A   0.826307,A   0.848418,A   0.797957,A   0.842808,A   0.825878,A   0.728624,A   0.765027,A   0.885448,A   0.900179,A   0.938283,A   1.082705,A   1.116533,A   1.057559,A   0.884048,A   0.803922,A   0.8038,A   0.796433,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(NZL) New Zealand,A   0.714288,A   0.714288,A   0.714288,A   0.714288,A   0.714288,A   0.714288,A   0.714288,A   0.714288,A   0.714288,A   0.714288,A   0.714288,A   0.715514,A   0.719194,A   0.719194,A   0.719194,A   0.719194,A   0.719194,A   0.733666,A   0.892857,A   0.892857,A   0.892857,A   0.880607,A   0.83668,A   0.736812,A   0.715403,A   0.832307,A   1.004889,A   1.030312,A   0.964425,A   0.978502,A   1.02668,A   1.152795,A   1.332608,A   1.496773,A   1.763992,A   2.023372,A   1.913161,A   1.694561,A   1.526401,A   1.672148,A   1.676203,A   1.733514,A   1.861792,A   1.850513,A   1.686522,A   1.523877,A   1.454848,A   1.512421,A   1.868249,A   1.889614,A   2.201149,A   2.378751,A   2.162191,A   1.722099,A   1.508681,A   1.420273,A   1.542056,A   1.360675,A   1.422727,A   1.600877,A   1.387834,A   1.265811,A   1.234284,A   1.219408,A   1.205433,A   1.433975,A   1.436525,A   1.407408,A   1.445258,A   1.517875,A   1.542058,A   1.4138,A   1.577183,,
(NOR) Norway,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.14286,A   7.055905,A   6.588249,A   5.765833,A   5.539708,A   5.226942,A   5.456517,A   5.3235,A   5.24225,A   5.064067,A   4.939225,A   5.739508,A   6.454033,A   7.296367,A   8.161458,A   8.597233,A   7.394742,A   6.73745,A   6.516983,A   6.9045,A   6.259742,A   6.482943,A   6.214501,A   7.094129,A   7.057584,A   6.335157,A   6.449808,A   7.073401,A   7.545097,A   7.799172,A   8.801842,A   8.991654,A   7.983779,A   7.080217,A   6.740833,A   6.4425,A   6.413333,A   5.861667,A   5.64,A   6.288333,A   6.044167,A   5.604607,A   5.8175,A   5.875,A   6.301667,A   8.064167,A   8.4,A   8.271667,A   8.1325,A   8.8,A   9.415833,A   8.59,A   9.614167,,
(POL) Poland,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.0004,A   0.000389,A   0.000368,A   0.000335,A   0.000332,A   0.000332,A   0.000332,A   0.000332,A   0.000581,A   0.00332,A   0.004422,A   0.005115,A   0.008482,A   0.009155,A   0.011324,A   0.014714,A   0.017529,A   0.026508,A   0.043055,A   0.143918,A   0.95,A   1.057606,A   1.362643,A   1.811497,A   2.272277,A   2.424983,A   2.6961,A   3.279292,A   3.4754,A   3.967108,A   4.346075,A   4.0939,A   4.080033,A   3.889075,A   3.657642,A   3.235483,A   3.103158,A   2.76795,A   2.409242,A   3.120142,A   3.0153,A   2.962848,A   3.256542,A   3.160617,A   3.154542,A   3.7695,A   3.942783,A   3.779333,A   3.611717,A   3.839375,A   3.899742,A   3.861917,A   4.457758,,
(PRT) Portugal,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.143404,A   0.14146,A   0.134942,A   0.122281,A   0.126735,A   0.127457,A   0.150782,A   0.190925,A   0.219158,A   0.244029,A   0.249709,A   0.306992,A   0.396411,A   0.552567,A   0.730192,A   0.849925,A   0.746136,A   0.702719,A   0.718039,A   0.785398,A   0.71106,A   0.720673,A   0.673366,A   0.802068,A   0.827968,A   0.753711,A   0.769364,A   0.874455,A   0.898357,A   0.938283,A   1.082705,A   1.116533,A   1.057559,A   0.884048,A   0.803922,A   0.8038,A   0.796433,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(SVK) Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A   1.021363,A   1.063694,A   0.986305,A   1.017518,A   1.115852,A   1.169535,A   1.372995,A   1.528088,A   1.605086,A   1.504572,A   1.220637,A   1.070733,A   1.029617,A   0.985768,A   0.819702,A   0.709069,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(SVN) Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A   0.115053,A   0.339205,A   0.47255,A   0.537509,A   0.494569,A   0.564865,A   0.666368,A   0.693266,A   0.758509,A   0.929127,A   1.012973,A   1.002538,A   0.86427,A   0.802792,A   0.804146,A   0.797147,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(ESP) Spain,A   0.239203,A   0.238301,A   0.238301,A   0.238301,A   0.234094,A   0.234094,A   0.234094,A   0.248228,A   0.25242,A   0.306514,A   0.360607,A   0.360607,A   0.360607,A   0.360607,A   0.360607,A   0.360607,A   0.360607,A   0.370624,A   0.420708,A   0.420708,A   0.420708,A   0.417515,A   0.386279,A   0.35015,A   0.346703,A   0.345023,A   0.402095,A   0.45654,A   0.460783,A   0.403429,A   0.430937,A   0.554865,A   0.660267,A   0.862031,A   0.966193,A   1.021986,A   0.841708,A   0.74212,A   0.7001,A   0.711464,A   0.612635,A   0.624521,A   0.615311,A   0.764851,A   0.805104,A   0.749396,A   0.761251,A   0.879964,A   0.897884,A   0.938283,A   1.082705,A   1.116533,A   1.057559,A   0.884048,A   0.803922,A   0.8038,A   0.796433,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(SWE) Sweden,A   5.172771,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.17321,A   5.125905,A   4.762417,A   4.36725,A   4.439425,A   4.152192,A   4.355892,A   4.481642,A   4.518475,A   4.287083,A   4.229575,A   5.063442,A   6.282608,A   7.667108,A   8.2718,A   8.603925,A   7.123583,A   6.340442,A   6.12715,A   6.446876,A   5.91879,A   6.047467,A   5.823833,A   7.783427,A   7.71597,A   7.133268,A   6.705956,A   7.634894,A   7.949868,A   8.262428,A   9.162244,A   10.329136,A   9.737123,A   8.086304,A   7.348887,A   7.473088,A   7.378249,A   6.75877,A   6.591099,A   7.653819,A   7.207524,A   6.493543,A   6.775016,A   6.513972,A   6.860785,A   8.434841,A   8.561992,A   8.548861,A   8.692518,A   9.458349,A   9.210309,A   8.576567,A   10.114251,,
(CHE) Switzerland,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.37295,A   4.133854,A   3.81925,A   3.164833,A   2.97925,A   2.581283,A   2.499642,A   2.403525,A   1.788025,A   1.662725,A   1.675708,A   1.964242,A   2.030275,A   2.099142,A   2.349683,A   2.457125,A   1.798917,A   1.491192,A   1.4633,A   1.635925,A   1.389158,A   1.433992,A   1.406218,A   1.477617,A   1.367693,A   1.182469,A   1.23601,A   1.451313,A   1.449813,A   1.502155,A   1.688843,A   1.687615,A   1.558607,A   1.346651,A   1.243496,A   1.245177,A   1.253843,A   1.200366,A   1.08309,A   1.088142,A   1.042906,A   0.888042,A   0.937684,A   0.926904,A   0.916151,A   0.962381,A   0.985394,A   0.984692,A   0.977892,A   0.993709,A   0.938965,A   0.913846,A   0.954832,,
(TUR) Türkiye,A   2.8,A   2.8,A   2.8,A   2.8,A   2.8,A   2.8,A   2.8,A   0.233336,A   0.000005,A   0.000009,A   0.000009,A   0.000009,A   0.000009,A   0.000009,A   0.000009,A   0.000009,A   0.000009,A   0.000009,A   0.000009,A   0.000009,A   0.000011,A   0.000015,A   0.000014,A   0.000014,A   0.000014,A   0.000014,A   0.000016,A   0.000018,A   0.000024,A   0.000031,A   0.000076,A   0.000111,A   0.000163,A   0.000225,A   0.000367,A   0.000522,A   0.000675,A   0.000857,A   0.001422,A   0.002122,A   0.002609,A   0.004172,A   0.006872,A   0.010985,A   0.029609,A   0.045845,A   0.081405,A   0.151865,A   0.260724,A   0.418783,A   0.625219,A   1.225588,A   1.507226,A   1.500885,A   1.425537,A   1.343583,A   1.428453,A   1.302931,A   1.301522,A   1.54996,A   1.502849,A   1.674955,A   1.796001,A   1.903768,A   2.188542,A   2.720009,A   3.020135,A   3.648133,A   4.82837,A   5.673819,A   7.008605,A   8.850408,A   16.54886,,
(GBR) United Kingdom,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.357143,A   0.362103,A   0.416667,A   0.416667,A   0.416667,A   0.41092,A   0.40039,A   0.408171,A   0.427756,A   0.452041,A   0.55651,A   0.573272,A   0.521505,A   0.472181,A   0.430295,A   0.497641,A   0.572447,A   0.659725,A   0.751807,A   0.779246,A   0.682197,A   0.611927,A   0.56217,A   0.611173,A   0.563177,A   0.567015,A   0.569774,A   0.666757,A   0.653427,A   0.633668,A   0.640958,A   0.610836,A   0.603824,A   0.618057,A   0.660931,A   0.694655,A   0.667223,A   0.612472,A   0.54618,A   0.549998,A   0.543487,A   0.499772,A   0.543966,A   0.641919,A   0.647179,A   0.624141,A   0.633047,A   0.639661,A   0.60773,A   0.654545,A   0.740634,A   0.776977,A   0.749532,A   0.783445,A   0.78,A   0.727065,A   0.811302,,
(USA) United States,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,A   1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
