country,year,unemployment_percentage_change,inflation_percentage_change
Australia,1990,0.0,-2.666355296565881
Australia,1991,0.0,-56.67986007960064
Australia,1992,11.96536615898185,-68.13551880184723
Australia,1993,1.3602906922575153,73.2463466056269
Australia,1994,-10.616784630940334,12.316079474870255
Australia,1995,-12.86507610037021,134.95556674002037
Australia,1996,0.4248790274991032,-43.48494984600131
Australia,1997,-1.6688212480902465,-91.40135815167667
Australia,1998,-8.16302139356998,282.47319918404025
Australia,1999,-10.515356585111924,72.42991402404061
Australia,2000,-8.551483420593364,200.54256486208985
Australia,2001,7.299618320610679,-1.128446838370023
Australia,2002,-5.513561582925741,-32.34665391246496
Australia,2003,-6.933333333333335,-8.350573488714652
Australia,2004,-9.000505646384626,-14.248017117946654
Australia,2005,-6.723467308760888,14.875735868678165
Australia,2006,-4.984114376489268,32.07689616899423
Australia,2007,-8.443051201671892,-34.53100111204866
Australia,2008,-3.172791600091307,86.8997014475298
Australia,2009,31.188118811881196,-59.28745704131042
Australia,2010,-6.307277628032349,64.77396769808057
Australia,2011,-2.512466436517069,13.209911300030974
Australia,2012,2.7936258115286217,-46.64466992249391
Australia,2013,8.382775119617246,38.97868277341783
Australia,2014,7.328271234328088,1.5524813399059312
Australia,2015,-0.3784139519578899,-39.37244437021205
Australia,2016,-5.681255161023935,-15.339490962331103
Australia,2017,-2.083698126422706,52.5968070979548
Australia,2018,-5.221745350500717,-1.9114009454955336
Australia,2019,-2.660377358490562,-15.728414906548249
Australia,2020,25.14053111068037,-47.42224803486628
Australia,2021,-20.75588599752169,238.16173078108
Australia,2022,-27.658326817826417,130.24800853914417
Australia,2023,-0.9186706295595816,-15.120824449454808
Austria,1990,0.0,27.00272512494792
Austria,1991,0.0,2.3162990028733788
Austria,1992,4.970760233918137,20.477474348738838
Austria,1993,18.38440111420614,-9.67613225748063
Austria,1994,-16.823529411764703,-18.67885446108876
Austria,1995,23.14002828854313,-24.041470874077632
Austria,1996,21.548357454629,-17.04559591731233
Austria,1997,-2.5326025326025348,-29.82273978907093
Austria,1998,6.5154159394997135,-29.365824464691137
Austria,1999,-14.309120699071553,-38.318265641265945
Austria,2000,-0.2761844062035279,312.10694986770744
Austria,2001,-14.52918619514274,13.013039055971998
Austria,2002,21.13659022931209,-31.68462830482352
Austria,2003,-1.5432098765432167,-25.12233490001693
Austria,2004,24.74399164054337,52.05640073978064
Austria,2005,-4.808175573797957,11.543322463743056
Austria,2006,-6.370996128123895,-37.30047516559182
Austria,2007,-7.725563909774447,50.43234906438747
Austria,2008,-14.483601548176804,48.299208684966665
Austria,2009,27.941877084325878,-84.25632314771707
Austria,2010,-9.08583131632844,258.1873926954321
Austria,2011,-5.037886545156677,81.22507999420954
Austria,2012,5.86586154841493,-24.368910368207292
Austria,2013,9.32980240374821,-19.532695606088225
Austria,2014,5.7201416061114285,-19.71567746118328
Austria,2015,2.2559041240747035,-44.16759683480473
Austria,2016,4.515684246811458,-0.5545154263976171
Austria,2017,-8.294854881266488,133.43297052681464
Austria,2018,-11.29293292573278,-3.982632492954963
Austria,2019,-7.561321710926416,-23.39315923454379
Austria,2020,14.05701754385964,-9.731885303779574
Austria,2021,24.18765621995771,100.20590325669347
Austria,2022,-22.71249419414769,208.9230095531418
Austria,2023,5.028044871794868,-8.57314745432819
Belgium,1990,0.0,10.983455608944292
Belgium,1991,0.0,-6.756971957219948
Belgium,1992,-4.03780068728522,-24.48768085504576
Belgium,1993,20.53118472097881,13.446323043083977
Belgium,1994,19.398365932161425,-13.682906365223
Belgium,1995,-3.1933644375323977,-38.25691810564879
Belgium,1996,1.5636714148013375,41.48963067521729
Belgium,1997,-5.620584203311196,-21.61078597703242
Belgium,1998,4.167597765363151,-41.697990406037945
Belgium,1999,-7.229432586077456,18.07720768371261
Belgium,2000,-23.85246849346744,127.01715404585272
Belgium,2001,-6.194959003947775,-2.9577129357841736
Belgium,2002,11.848494658465537,-33.37212198605404
Belgium,2003,11.143270622286527,-3.419029355640879
Belgium,2004,-4.127604166666654,31.990599661162868
Belgium,2005,14.62719000407442,32.620752109503485
Belgium,2006,-2.298578199052126,-35.60125536845781
Belgium,2007,-9.544021343681797,1.7780517012192076
Belgium,2008,-6.475398847030434,146.25921892812636
Belgium,2009,13.360091743119272,-101.18379183643292
Belgium,2010,4.868487607486083,-4219.4306878110165
Belgium,2011,-13.903291932955495,61.33391454884938
Belgium,2012,5.630252100840338,-19.603696970343385
Belgium,2013,11.707769822328306,-60.801835644582944
Belgium,2014,1.1632047477744711,-69.45431020079006
Belgium,2015,-0.4810512730259342,65.1248455920954
Belgium,2016,-7.686866305116712,251.57644316343507
Belgium,2017,-9.50191570881226,7.706665096363685
Belgium,2018,-16.059836296923514,-3.4245935525193394
Belgium,2019,-9.885675857431076,-30.01928385201349
Belgium,2020,3.6380597014925353,-48.44225207762168
Belgium,2021,12.763276327632768,229.4108373595253
Belgium,2022,-11.270753512132824,293.3005874498821
Belgium,2023,-0.8996041741633598,-57.811869468568176
Canada,1990,0.0,-4.076251591237289
Canada,1991,0.0,17.684159234494512
Canada,1992,8.540131834044185,-73.51281720956953
Canada,1993,1.607573457176037,25.1619476352426
Canada,1994,-8.631449415487392,-91.12300971706904
Canada,1995,-8.71572871572871,1197.8512391972033
Canada,1996,1.3805458952471206,-26.909897658567672
Canada,1997,-5.39501039501038,3.227268482183065
Canada,1998,-9.031974508295804,-38.56819677668925
Canada,1999,-8.406812416958564,74.19108290912033
Canada,2000,-9.943294210734544,56.75424426357771
Canada,2001,5.710938644018171,-7.145582181353538
Canada,2002,6.178141016761329,-10.562892702602255
Canada,2003,-1.187214611872145,22.147097203515976
Canada,2004,-5.135991550039609,-32.67296868260203
Canada,2005,-5.942936673625598,19.183827829428
Canada,2006,-4.054453980467598,-9.555982229058367
Canada,2007,-5.058605798889582,6.811032384531779
Canada,2008,2.079272254710851,10.84401500193981
Canada,2009,34.627625716104404,-87.3657128578219
Canada,2010,-3.3333333333333326,493.3450797215744
Canada,2011,-6.615309366593314,63.891143608563205
Canada,2012,-3.208065994500453,-47.95302468195355
Canada,2013,-3.368506493506496,-38.09425517836048
Canada,2014,-1.679966400671984,103.202853084851
Canada,2015,-1.110636480136684,-40.9828925979626
Canada,2016,1.3390928725701912,26.97360730948104
Canada,2017,-8.695652173913048,11.767171204770952
Canada,2018,-9.165888577653291,42.04071734499652
Canada,2019,-2.5184169950316804,-14.061945067342483
Canada,2020,69.71880492091387,-63.21699964591444
Canada,2021,-22.056539297918608,373.52788390273537
Canada,2022,-29.85253088880032,100.36565763193823
Canada,2023,1.628787878787863,-42.97934761345508
Chile,1990,0.0,52.9044977840953
Chile,1991,0.0,-16.331195783087292
Chile,1992,-16.826003824091796,-29.188787994315437
Chile,1993,3.218390804597715,-17.490427649582717
Chile,1994,30.734966592427604,-10.093265496191371
Chile,1995,-19.93185689948892,-28.05606687688184
Chile,1996,57.74468085106381,-10.610369794569165
Chile,1997,-3.7496628001079,-16.649457235255806
Chile,1998,2.3963004484304884,-16.687930993085665
Chile,1999,52.70288764198712,-34.70222646436339
Chile,2000,-5.977773794586838,15.175670302776243
Chile,2001,-0.962729959012476,-7.133826560526546
Chile,2002,-2.136669874879704,-30.25138557809129
Chile,2003,-3.963414634146334,12.885869133043348
Chile,2004,4.065540194572459,-62.46720208197773
Chile,2005,-8.088958866364893,189.4153948728576
Chile,2006,-3.383297644539618,11.119824672787026
Chile,2007,-6.615691489361697,29.946251627899613
Chile,2008,10.181559273762918,97.7464936729979
Chile,2009,21.841680129240725,-95.94958360123896
Chile,2010,-24.449748077433043,299.5837269302684
Chile,2011,-12.343512343512351,136.84629619553283
Chile,2012,-9.369994660971702,-9.989430398982623
Chile,2013,-6.3181148748159055,-40.495885521762645
Chile,2014,6.288319446627888,163.6786159204648
Chile,2015,-2.3073509835823014,-7.839101551365724
Chile,2016,4.859954579863746,-12.936520351320056
Chile,2017,5.255558764077395,-42.350584168853366
Chile,2018,4.897119341563783,11.553086143790717
Chile,2019,-1.4907806983130656,5.03739193021242
Chile,2020,46.103809903093065,19.078692158348037
Chile,2021,-15.273487188806111,48.56614610979124
Chile,2022,-11.002680965147448,157.3475683061634
Chile,2023,8.89263766718884,-34.886900521725394
Colombia,1990,0.0,12.697285841867089
Colombia,1991,0.0,4.2391425877158495
Colombia,1992,-6.719367588932801,-11.113642951495528
Colombia,1993,-17.3728813559322,-16.912394644771112
Colombia,1994,5.769230769230771,1.7990830724863516
Colombia,1995,5.696969696969712,-8.554793215144551
Colombia,1996,35.43577981651376,-0.4509785728290749
